Gene name	Human gene name	Human homology type
Metazoa_SRP	RN7SL238P	ortholog_many2many
Metazoa_SRP	RN7SL759P	ortholog_many2many
Metazoa_SRP	RN7SL796P	ortholog_many2many
Metazoa_SRP	RN7SL495P	ortholog_many2many
Metazoa_SRP	RN7SL82P	ortholog_many2many
Metazoa_SRP	RN7SL539P	ortholog_many2many
Metazoa_SRP	Metazoa_SRP	ortholog_many2many
Metazoa_SRP	RN7SL185P	ortholog_many2many
Metazoa_SRP	RN7SL106P	ortholog_many2many
CACNA1H	CACNA1H	ortholog_one2one
	CCL3	ortholog_many2many
	CCL3L3	ortholog_many2many
Metazoa_SRP	RN7SL667P	ortholog_one2one
STIM1	STIM1	ortholog_one2one
	TAF11L3	ortholog_many2many
	LINC02218	ortholog_many2many
	TAF11L5	ortholog_many2many
	TAF11L12	ortholog_many2many
	TAF11L13	ortholog_many2many
	TAF11L14	ortholog_many2many
	TAF11L10	ortholog_many2many
	TAF11L2	ortholog_many2many
	TAF11L9	ortholog_many2many
	TAF11L4	ortholog_many2many
	TAF11L7	ortholog_many2many
	TAF11L6	ortholog_many2many
	TAF11L11	ortholog_many2many
	TAF11L8	ortholog_many2many
EDC4	EDC4	ortholog_one2one
A1BG	A1BG	ortholog_one2one
ZNF774	ZNF774	ortholog_one2one
TMEM132C	TMEM132C	ortholog_one2one
	PAGE2B	ortholog_many2many
	PAGE2	ortholog_many2many
KCTD11	KCTD11	ortholog_one2one
SARDH	SARDH	ortholog_one2one
UBR1	UBR1	ortholog_one2one
EZHIP	EZHIP	ortholog_one2one
TLCD5	TLCD5	ortholog_one2one
H3Y1	H3Y1	ortholog_one2many
H3Y1	H3Y2	ortholog_one2many
GDF9	GDF9	ortholog_one2one
XIAP	XIAP	ortholog_one2one
BCR	BCR	ortholog_one2one
NUDT11	NUDT11	ortholog_one2one
RNASEH1	RNASEH1	ortholog_one2one
TBC1D8	TBC1D8	ortholog_one2one
PIK3R3	PIK3R3	ortholog_one2one
	CENPVL1	ortholog_many2many
	CENPVL2	ortholog_many2many
	CENPVL3	ortholog_many2many
	GOLGA6L25	ortholog_many2many
	GOLGA6L26	ortholog_many2many
	GOLGA6L24	ortholog_many2many
	GOLGA6L22	ortholog_many2many
	GOLGA6L6	ortholog_many2many
	GOLGA6L1	ortholog_many2many
TPX2	TPX2	ortholog_one2one
FBXL17	FBXL17	ortholog_one2one
TMEM95	TMEM95	ortholog_one2one
	RPL26	ortholog_one2many
ENO2	ENO2	ortholog_one2one
SECISBP2	SECISBP2	ortholog_one2one
TMEM17	TMEM17	ortholog_one2one
NPS	NPS	ortholog_one2one
TLL1	TLL1	ortholog_one2one
POLK	POLK	ortholog_one2one
UQCRQ	UQCRQ	ortholog_one2one
PTGIR	PTGIR	ortholog_one2one
SPTBN2	SPTBN2	ortholog_one2one
U6	RNU6-122P	ortholog_one2one
SLIT3	SLIT3	ortholog_one2one
ATAD2B	ATAD2B	ortholog_one2one
MIR744	MIR744	ortholog_one2one
C3H21orf91	C21orf91	ortholog_one2one
ZNF497	ZNF497	ortholog_one2one
MYO19	MYO19	ortholog_one2one
GABBR2	GABBR2	ortholog_one2one
IGFBP4	IGFBP4	ortholog_one2one
MIER3	MIER3	ortholog_one2one
ZDHHC12	ZDHHC12	ortholog_one2one
FOXI2	FOXI2	ortholog_one2one
SNORD81	SNORD81	ortholog_one2many
DNTTIP1	DNTTIP1	ortholog_one2one
C7H15orf61	C15orf61	ortholog_one2one
	HCAR3	ortholog_one2many
	HCAR2	ortholog_one2many
KCNA5	KCNA5	ortholog_one2one
LEAP2	LEAP2	ortholog_one2one
TNK1	TNK1	ortholog_one2one
MED19	MED19	ortholog_one2one
ANKH	ANKH	ortholog_one2one
MTHFSD	MTHFSD	ortholog_one2one
RAI1	RAI1	ortholog_one2one
IQGAP1	IQGAP1	ortholog_one2one
CARMIL3	CARMIL3	ortholog_one2one
MAP3K12	MAP3K12	ortholog_one2one
CAPG	CAPG	ortholog_one2one
Metazoa_SRP	RN7SL18P	ortholog_one2one
	GTPBP6	ortholog_one2one
ABHD2	ABHD2	ortholog_one2one
Metazoa_SRP	RN7SL58P	ortholog_one2one
HCAR1	HCAR1	ortholog_one2one
DACT3	DACT3	ortholog_one2one
PPP6C	PPP6C	ortholog_one2one
CLRN3	CLRN3	ortholog_one2one
Metazoa_SRP	Metazoa_SRP	ortholog_one2one
MYOCD	MYOCD	ortholog_one2one
GRIN2D	GRIN2D	ortholog_one2one
SNORA70	SNORA70	ortholog_one2one
U3	U3	ortholog_one2one
CMTR1	CMTR1	ortholog_one2one
WHRN	WHRN	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
TPSG1	TPSG1	ortholog_one2one
ADI1	ADI1	ortholog_one2one
PKN3	PKN3	ortholog_one2one
STAG2	STAG2	ortholog_one2one
AEBP2	AEBP2	ortholog_one2one
ZDHHC5	ZDHHC5	ortholog_one2one
TNS4	TNS4	ortholog_one2one
DENR	DENR	ortholog_one2one
DEPP1	DEPP1	ortholog_one2one
ZNF837	ZNF837	ortholog_one2one
Metazoa_SRP	RN7SL51P	ortholog_one2one
AFF4	AFF4	ortholog_one2one
	ZNF780B	ortholog_one2many
ALKBH2	ALKBH2	ortholog_one2one
GID8	GID8	ortholog_one2one
NTF3	NTF3	ortholog_one2one
ARHGEF12	ARHGEF12	ortholog_one2one
B3GNT2	B3GNT2	ortholog_one2one
ZNF22	ZNF22	ortholog_one2one
PLSCR3	PLSCR3	ortholog_one2one
	TPSAB1	ortholog_one2many
	TPSB2	ortholog_one2many
TBC1D12	TBC1D12	ortholog_one2one
IGFLR1	IGFLR1	ortholog_one2one
UBE3A	UBE3A	ortholog_one2one
RAB24	RAB24	ortholog_one2one
PDSS1	PDSS1	ortholog_one2one
PLEKHH2	PLEKHH2	ortholog_one2one
	RPA1	ortholog_one2many
FRMD6	FRMD6	ortholog_one2one
U6	RNU6-220P	ortholog_one2one
CTSD	CTSD	ortholog_one2one
LAMB4	LAMB4	ortholog_one2one
	CENPVL1	ortholog_many2many
	CENPVL2	ortholog_many2many
	CENPVL3	ortholog_many2many
ZNF584	ZNF584	ortholog_one2one
TRAPPC12	TRAPPC12	ortholog_one2one
Metazoa_SRP	RN7SL176P	ortholog_one2one
AKNA	AKNA	ortholog_one2one
CYLC2	CYLC2	ortholog_one2one
GRWD1	GRWD1	ortholog_one2one
Metazoa_SRP	Metazoa_SRP	ortholog_one2many
RHPN1	RHPN1	ortholog_one2one
MAP2K5	MAP2K5	ortholog_one2one
	NDUFS5	ortholog_one2many
RHOG	RHOG	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
GSPT2	GSPT2	ortholog_one2one
ADAM28	ADAM28	ortholog_one2one
FAM104B	FAM104B	ortholog_one2one
SREBF1	SREBF1	ortholog_one2one
COMMD1	COMMD1	ortholog_one2one
U2AF1L4	U2AF1L4	ortholog_one2one
ELMOD3	ELMOD3	ortholog_one2one
SLC17A9	SLC17A9	ortholog_one2one
ACTR6	ACTR6	ortholog_one2one
TPSD1	TPSD1	ortholog_one2one
SLC15A4	SLC15A4	ortholog_one2one
LILRA1	LILRA2	ortholog_one2many
UNG	UNG	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
BTG3	BTG3	ortholog_one2one
NAIP	NAIP	ortholog_one2one
CCDC62	CCDC62	ortholog_one2one
STX2	STX2	ortholog_one2one
CALCB	CALCB	ortholog_one2one
ARMC1	ARMC1	ortholog_one2one
CCR7	CCR7	ortholog_one2one
U6	RNU6-329P	ortholog_one2one
U6	RNU6-431P	ortholog_one2one
	MRFAP1	ortholog_one2many
SCAI	SCAI	ortholog_one2one
ABCB8	ABCB8	ortholog_one2one
Metazoa_SRP	RN7SL302P	ortholog_one2one
MIR3074	MIR3074	ortholog_one2one
PSENEN	PSENEN	ortholog_one2one
U4	RNU4-55P	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
KCNJ14	KCNJ14	ortholog_one2one
MIR27B	MIR27B	ortholog_one2one
ATN1	ATN1	ortholog_one2one
PRKD2	PRKD2	ortholog_one2one
GRIN3A	GRIN3A	ortholog_one2one
PGAP2	PGAP2	ortholog_one2one
MTFR1	MTFR1	ortholog_one2one
MSANTD4	MSANTD4	ortholog_one2one
UTP6	UTP6	ortholog_one2one
MIR23B	MIR23B	ortholog_one2one
SEMA4D	SEMA4D	ortholog_one2one
CLP1	CLP1	ortholog_one2one
	PLCXD1	ortholog_one2one
mml-mir-146b	MIR146B	ortholog_one2many
		ortholog_one2one
GPBP1	GPBP1	ortholog_one2one
	POTEF	ortholog_many2many
	POTEM	ortholog_many2many
	POTEE	ortholog_many2many
	POTEH	ortholog_many2many
	POTEI	ortholog_many2many
	POTEG	ortholog_many2many
	POTEJ	ortholog_many2many
U6	RNU6-897P	ortholog_one2one
MAP3K10	MAP3K10	ortholog_one2one
USP3	USP3	ortholog_one2one
MAGED1	MAGED1	ortholog_one2one
ZNF132	ZNF132	ortholog_one2one
PAGE3	PAGE3	ortholog_one2one
CCT4	CCT4	ortholog_one2one
DBH	DBH	ortholog_one2one
CALCA	CALCA	ortholog_one2one
XNDC1	XNDC1N	ortholog_one2one
PRELID1	PRELID1	ortholog_one2one
ARHGAP44	ARHGAP44	ortholog_one2one
ANKRD50	ANKRD50	ortholog_one2one
GAREM2	GAREM2	ortholog_one2one
ADH6	ADH6	ortholog_one2one
TEX13D	TEX13D	ortholog_one2one
MINK1	MINK1	ortholog_one2one
CYTH2	CYTH2	ortholog_one2one
TMEM256	TMEM256	ortholog_one2one
PARVA	PARVA	ortholog_one2one
GLT1D1	GLT1D1	ortholog_one2one
BHLHE23	BHLHE23	ortholog_one2one
NAT10	NAT10	ortholog_one2one
SMARCE1	SMARCE1	ortholog_one2one
	PAGE2B	ortholog_many2many
	PAGE2	ortholog_many2many
	CUEDC2	ortholog_one2many
DNAJC5	DNAJC5	ortholog_one2one
PTPRE	PTPRE	ortholog_one2one
KBTBD3	KBTBD3	ortholog_one2one
	LILRA2	ortholog_one2many
ETNPPL	ETNPPL	ortholog_one2one
KCNJ13	KCNJ13	ortholog_one2one
LIN37	LIN37	ortholog_one2one
RNF121	RNF121	ortholog_one2one
MAFA	MAFA	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
VWF	VWF	ortholog_one2one
Metazoa_SRP	RN7SL364P	ortholog_one2one
CYP2R1	CYP2R1	ortholog_one2one
RPL27A	RPL27A	ortholog_one2many
Y_RNA	RNY4P25	ortholog_one2one
CDH18	CDH18	ortholog_one2one
RPTN	RPTN	ortholog_one2one
FBP1	FBP1	ortholog_one2many
RAB10	RAB10	ortholog_one2one
	UBE2V2	ortholog_one2one
U6	RNU6-107P	ortholog_one2one
FOXC2	FOXC2	ortholog_one2one
CXADR	CXADR	ortholog_one2one
DUSP11	DUSP11	ortholog_one2one
MAGEH1	MAGEH1	ortholog_one2one
U6	RNU6-617P	ortholog_many2many
U6	RNU6-1021P	ortholog_many2many
U6	RNU6-286P	ortholog_many2many
U6	U6	ortholog_many2many
U6	RNU6-816P	ortholog_many2many
U6	RNU6-1268P	ortholog_many2many
U6	RNU6-749P	ortholog_many2many
U6	RNU6-631P	ortholog_many2many
U6	U6	ortholog_many2many
U6	RNU6-473P	ortholog_many2many
U6	RNU6-1049P	ortholog_many2many
U6	U6	ortholog_many2many
U6	RNU6-127P	ortholog_many2many
U6	RNU6-848P	ortholog_many2many
U6	RNU6-1239P	ortholog_many2many
Y_RNA	Y_RNA	ortholog_one2one
CCDC138	CCDC138	ortholog_one2one
ORM1	ORM1	ortholog_one2one
INO80E	INO80E	ortholog_one2one
TBX21	TBX21	ortholog_one2one
PIGW	PIGW	ortholog_one2one
YPEL4	YPEL4	ortholog_one2one
MXD3	MXD3	ortholog_one2one
STRN4	STRN4	ortholog_one2one
CCDC69	CCDC69	ortholog_one2one
ZC3H3	ZC3H3	ortholog_one2one
SNX21	SNX21	ortholog_one2one
NLGN2	NLGN2	ortholog_one2one
SNORC	SNORC	ortholog_one2one
AASDHPPT	AASDHPPT	ortholog_one2one
U7	RNU7-175P	ortholog_one2one
YTHDF1	YTHDF1	ortholog_one2one
SCYL2	SCYL2	ortholog_one2one
mml-mir-33b	MIR33B	ortholog_one2one
USP51	USP51	ortholog_one2one
Metazoa_SRP	RN7SL113P	ortholog_one2one
		ortholog_one2one
Metazoa_SRP	RN7SL156P	ortholog_one2one
Metazoa_SRP	RN7SL163P	ortholog_one2many
ZNHIT3	ZNHIT3	ortholog_one2many
Y_RNA	Y_RNA	ortholog_one2one
RNF20	RNF20	ortholog_one2one
MACROH2A1	MACROH2A1	ortholog_one2one
ADAMDEC1	ADAMDEC1	ortholog_one2one
	VBP1	ortholog_one2many
PDE3B	PDE3B	ortholog_one2one
TLDC2	TLDC2	ortholog_one2one
ANKDD1B	ANKDD1B	ortholog_one2one
C3H7orf33	C7orf33	ortholog_one2one
EIPR1	EIPR1	ortholog_one2one
ACACB	ACACB	ortholog_one2one
U7	RNU7-195P	ortholog_one2one
MKI67	MKI67	ortholog_one2one
NGEF	NGEF	ortholog_one2one
FOXR2	FOXR2	ortholog_one2one
U6	RNU6-942P	ortholog_one2one
CPNE6	CPNE6	ortholog_one2one
FAM163B	FAM163B	ortholog_one2one
SIPA1L3	SIPA1L3	ortholog_one2one
Metazoa_SRP	RN7SL263P	ortholog_one2one
UCKL1	UCKL1	ortholog_one2one
TTC9B	TTC9B	ortholog_one2one
HIP1R	HIP1R	ortholog_one2one
mml-mir-130a	MIR130A	ortholog_one2one
RETSAT	RETSAT	ortholog_one2one
U6	RNU6-301P	ortholog_one2one
COL27A1	COL27A1	ortholog_one2one
U6	RNU6-61P	ortholog_one2one
AP3M1	AP3M1	ortholog_one2one
OR13A1	OR13A1	ortholog_one2one
ABI1	ABI1	ortholog_one2one
Metazoa_SRP	Metazoa_SRP	ortholog_one2many
mml-mir-218-2	MIR218-2	ortholog_one2one
ZNF324	ZNF324	ortholog_one2one
SPEF2	SPEF2	ortholog_one2one
SYT8	SYT8	ortholog_one2one
ACOT8	ACOT8	ortholog_one2one
SERPING1	SERPING1	ortholog_one2one
TBKBP1	TBKBP1	ortholog_one2one
LRP5	LRP5	ortholog_one2one
RRAGB	RRAGB	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
SPOCK3	SPOCK3	ortholog_one2one
SPEM1	SPEM1	ortholog_one2one
RLBP1	RLBP1	ortholog_one2one
INO80D	INO80D	ortholog_one2one
TPRKB	TPRKB	ortholog_one2one
RAB36	RAB36	ortholog_one2one
ALOX5	ALOX5	ortholog_one2one
LILRB4	LILRB4	ortholog_one2one
ADAMTSL2	ADAMTSL2	ortholog_one2one
FAM110B	FAM110B	ortholog_one2one
EDAR	EDAR	ortholog_one2one
CCNP	CCNP	ortholog_one2one
U7	RNU7-1	ortholog_one2one
U6	RNU6-1323P	ortholog_many2many
U6	RNU6-771P	ortholog_many2many
U6	RNU6-1072P	ortholog_many2many
KIF3C	KIF3C	ortholog_one2one
YBX3	YBX3	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
CA4	CA4	ortholog_one2one
MIR124-3	MIR124-3	ortholog_one2one
RAB22A	RAB22A	ortholog_one2one
MICAL2	MICAL2	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
C11H12orf57	C12orf57	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
IL18BP	IL18BP	ortholog_one2one
SPEM2	SPEM2	ortholog_one2one
HSPB6	HSPB6	ortholog_one2one
TOM1L2	TOM1L2	ortholog_one2one
GRIK2	GRIK2	ortholog_one2one
FBXL15	FBXL15	ortholog_one2one
Metazoa_SRP	RN7SL12P	ortholog_one2one
BIRC7	BIRC7	ortholog_one2one
U6	RNU6-477P	ortholog_one2one
LMAN2	LMAN2	ortholog_one2one
TAOK2	TAOK2	ortholog_one2one
SYK	SYK	ortholog_one2one
NR1H3	NR1H3	ortholog_one2one
Vault	Vault	ortholog_one2one
POC5	POC5	ortholog_one2one
VCL	VCL	ortholog_one2one
TNNI2	TNNI2	ortholog_one2one
U6	RNU6-655P	ortholog_one2one
U6	RNU6-113P	ortholog_one2one
GM2A	GM2A	ortholog_one2one
RTRAF	RTRAF	ortholog_one2one
UBXN2B	UBXN2B	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
HELLS	HELLS	ortholog_one2one
ZNF446	ZNF446	ortholog_one2one
ACTBL2	ACTBL2	ortholog_one2one
VWCE	VWCE	ortholog_one2one
GBX2	GBX2	ortholog_one2one
	SNORA3B	ortholog_one2many
	SNORA3C	ortholog_one2many
GUCY1A2	GUCY1A2	ortholog_one2one
KLHL29	KLHL29	ortholog_one2one
AMMECR1L	AMMECR1L	ortholog_one2one
	ASMTL	ortholog_one2many
RBM14	RBM14	ortholog_one2one
NRL	NRL	ortholog_one2one
SNORA3A	SNORA3A	ortholog_one2one
RSPH14	RSPH14	ortholog_one2one
PIGO	PIGO	ortholog_one2one
FANCI	FANCI	ortholog_one2one
U6	RNU6-680P	ortholog_one2one
PTPN6	PTPN6	ortholog_one2one
SPDL1	SPDL1	ortholog_one2one
UBE2L6	UBE2L6	ortholog_one2one
U1	RNU1-98P	ortholog_one2one
	NAT8	ortholog_one2many
	NAT8B	ortholog_one2many
NUP98	NUP98	ortholog_one2one
PXN	PXN	ortholog_one2one
ADAM7	ADAM7	ortholog_one2one
KRT222	KRT222	ortholog_one2one
SAMHD1	SAMHD1	ortholog_one2one
AKT2	AKT2	ortholog_one2one
Metazoa_SRP	RN7SL663P	ortholog_one2one
TRIM66	TRIM66	ortholog_one2one
CCDC34	CCDC34	ortholog_one2one
SH2D1A	SH2D1A	ortholog_one2one
NKAIN4	NKAIN4	ortholog_one2one
ASIC3	ASIC3	ortholog_one2one
DYNC2I2	DYNC2I2	ortholog_one2one
ACP2	ACP2	ortholog_one2many
FAT4	FAT4	ortholog_one2one
MAST2	MAST2	ortholog_one2one
IQCA1	IQCA1	ortholog_one2one
SMTNL1	SMTNL1	ortholog_one2one
SLC36A3	SLC36A3	ortholog_one2one
mml-mir-125b-2	MIR125B2	ortholog_one2one
PROSER3	PROSER3	ortholog_one2one
DPF1	DPF1	ortholog_one2one
NF1	NF1	ortholog_one2one
UBE2I	UBE2I	ortholog_one2one
FAM161A	FAM161A	ortholog_one2one
MYMK	MYMK	ortholog_one2one
TMEM102	TMEM102	ortholog_one2one
PSD	PSD	ortholog_one2one
NEU2	NEU2	ortholog_one2one
Metazoa_SRP	RN7SL628P	ortholog_many2many
Metazoa_SRP	RN7SL536P	ortholog_many2many
Metazoa_SRP	RN7SL469P	ortholog_many2many
Metazoa_SRP	RN7SL545P	ortholog_many2many
Metazoa_SRP	RN7SL196P	ortholog_many2many
Metazoa_SRP	RN7SL673P	ortholog_many2many
Metazoa_SRP	RN7SL286P	ortholog_many2many
Metazoa_SRP	RN7SL719P	ortholog_many2many
Metazoa_SRP	RN7SL238P	ortholog_many2many
Metazoa_SRP	RN7SL759P	ortholog_many2many
Metazoa_SRP	RN7SL796P	ortholog_many2many
Metazoa_SRP	RN7SL495P	ortholog_many2many
Metazoa_SRP	RN7SL82P	ortholog_many2many
Metazoa_SRP	RN7SL539P	ortholog_many2many
Metazoa_SRP	Metazoa_SRP	ortholog_many2many
Metazoa_SRP	RN7SL185P	ortholog_many2many
Metazoa_SRP	RN7SL106P	ortholog_many2many
MARCHF8	MARCHF8	ortholog_one2one
PDE7A	PDE7A	ortholog_one2one
ZSWIM3	ZSWIM3	ortholog_one2one
U7	RNU7-79P	ortholog_one2many
SV2C	SV2C	ortholog_one2one
MIRLET7C	MIRLET7C	ortholog_one2one
PCK2	PCK2	ortholog_one2one
U7	RNU7-106P	ortholog_one2one
SH3RF3	SH3RF3	ortholog_one2one
LSP1	LSP1	ortholog_one2one
MAMLD1	MAMLD1	ortholog_one2one
DOC2B	DOC2B	ortholog_one2one
U6	RNU6-254P	ortholog_one2one
NCOA2	NCOA2	ortholog_one2one
Metazoa_SRP	Metazoa_SRP	ortholog_one2one
FGF11	FGF11	ortholog_one2one
SLC27A5	SLC27A5	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
HRH4	HRH4	ortholog_one2one
ALMS1	ALMS1	ortholog_one2one
	ASS1	ortholog_one2many
mml-mir-99a	MIR99A	ortholog_one2one
U7	RNU7-130P	ortholog_one2one
ZSWIM1	ZSWIM1	ortholog_one2one
NDUFS1	NDUFS1	ortholog_one2one
KLF8	KLF8	ortholog_one2one
GSDMD	GSDMD	ortholog_one2one
BBOX1	BBOX1	ortholog_one2one
GPS1	GPS1	ortholog_one2one
	PGA5	ortholog_many2many
	PGA3	ortholog_many2many
	PGA4	ortholog_many2many
U1	RNU1-146P	ortholog_one2one
TGOLN2	TGOLN2	ortholog_one2one
GNAZ	GNAZ	ortholog_one2one
	B4GALT4	ortholog_one2many
U6	RNU6-187P	ortholog_one2one
KPNB1	KPNB1	ortholog_one2one
SMARCA2	SMARCA2	ortholog_one2one
SPATA25	SPATA25	ortholog_one2one
ASXL2	ASXL2	ortholog_one2one
CYP7A1	CYP7A1	ortholog_one2one
RAN	RAN	ortholog_one2one
SMN1	SMN2	ortholog_many2many
SMN1	SMN1	ortholog_many2many
IL7R	IL7R	ortholog_one2one
NFKB2	NFKB2	ortholog_one2one
NUMA1	NUMA1	ortholog_one2one
ENOX2	ENOX2	ortholog_one2one
CHRNB1	CHRNB1	ortholog_one2one
Y_RNA	RNY4P6	ortholog_one2one
CDK5	CDK5	ortholog_one2one
FBXL22	FBXL22	ortholog_one2one
TCF7L1	TCF7L1	ortholog_one2one
KRT24	KRT24	ortholog_one2one
CWF19L2	CWF19L2	ortholog_one2one
INPP5D	INPP5D	ortholog_one2one
PPP1R14A	PPP1R14A	ortholog_one2one
SNORD74B	SNORD74B	ortholog_one2one
	ACTR8	ortholog_one2many
	USP32	ortholog_one2many
	USP6	ortholog_one2many
NEURL2	NEURL2	ortholog_one2one
Metazoa_SRP	Metazoa_SRP	ortholog_one2many
C14H11orf24	C11orf24	ortholog_one2many
TARBP2	TARBP2	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
PSMA1	PSMA1	ortholog_one2one
SLC36A2	SLC36A2	ortholog_one2one
PAFAH1B2	PAFAH1B2	ortholog_one2one
PRR33	PRR33	ortholog_one2one
TIFAB	TIFAB	ortholog_one2one
ZBTB45	ZBTB45	ortholog_one2one
	USP17L1	ortholog_many2many
	USP17L8	ortholog_many2many
	USP17L7	ortholog_many2many
	USP17L25	ortholog_many2many
	USP17L24	ortholog_many2many
	USP17L15	ortholog_many2many
	USP17L29	ortholog_many2many
	USP17L20	ortholog_many2many
	USP17L10	ortholog_many2many
	USP17L19	ortholog_many2many
	USP17L3	ortholog_many2many
	USP17L12	ortholog_many2many
	USP17L17	ortholog_many2many
	USP17L23	ortholog_many2many
	USP17L2	ortholog_many2many
	USP17L18	ortholog_many2many
	USP17L26	ortholog_many2many
	USP17L21	ortholog_many2many
	USP17L11	ortholog_many2many
	USP17L5	ortholog_many2many
	USP17L4	ortholog_many2many
	USP17L22	ortholog_many2many
	USP17L30	ortholog_many2many
	USP17L13	ortholog_many2many
	USP17L28	ortholog_many2many
	USP17L27	ortholog_many2many
SLC43A1	SLC43A1	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
NID2	NID2	ortholog_one2one
SLC2A6	SLC2A6	ortholog_one2one
U6	RNU6-1143P	ortholog_one2one
VAPB	VAPB	ortholog_one2many
	PGA5	ortholog_many2many
	PGA3	ortholog_many2many
	PGA4	ortholog_many2many
TENM1	TENM1	ortholog_one2one
		ortholog_one2one
	PTMA	ortholog_one2many
P2RY8	P2RY8	ortholog_one2one
MROH6	MROH6	ortholog_one2one
CST5	CST5	ortholog_one2one
PLK2	PLK2	ortholog_one2one
NEUROG1	NEUROG1	ortholog_one2one
ARHGAP33	ARHGAP33	ortholog_one2one
CHRNA10	CHRNA10	ortholog_one2one
	IL17RB	ortholog_one2many
ARFGAP1	ARFGAP1	ortholog_one2one
ZCCHC10	ZCCHC10	ortholog_one2one
PHB2	PHB2	ortholog_one2one
RPH3AL	RPH3AL	ortholog_one2one
RGS14	RGS14	ortholog_one2one
Metazoa_SRP	RN7SL525P	ortholog_one2one
KRT25	KRT25	ortholog_one2one
TNNT3	TNNT3	ortholog_one2one
Metazoa_SRP	Metazoa_SRP	ortholog_one2one
U8	U8	ortholog_one2one
BNC2	BNC2	ortholog_one2one
U6	RNU6-84P	ortholog_one2one
NEFM	NEFM	ortholog_one2one
AKAP17A	AKAP17A	ortholog_one2one
CST9L	CST9L	ortholog_one2one
U6	RNU6-674P	ortholog_one2one
TBC1D2	TBC1D2	ortholog_one2one
RBM4B	RBM4B	ortholog_one2one
PDE3A	PDE3A	ortholog_one2one
LMTK3	LMTK3	ortholog_one2one
	NDUFS2	ortholog_one2many
SDCBP	SDCBP	ortholog_one2one
CTSA	CTSA	ortholog_one2one
TRIM28	TRIM28	ortholog_one2one
SPINT2	SPINT2	ortholog_one2one
SEPTIN10	SEPTIN10	ortholog_one2one
CXCL14	CXCL14	ortholog_one2one
SDHA	SDHA	ortholog_one2one
ALG11	ALG11	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
	CST2	ortholog_many2many
	CST4	ortholog_many2many
	CST1	ortholog_many2many
TMPRSS11F	TMPRSS11F	ortholog_one2one
ZBTB4	ZBTB4	ortholog_one2one
TCHH	TCHH	ortholog_one2one
U6	RNU6-1077P	ortholog_one2one
VPS37B	VPS37B	ortholog_one2one
	IGLL5	ortholog_many2many
	IGLC1	ortholog_many2many
	IGLC3	ortholog_many2many
	IGLC2	ortholog_many2many
Metazoa_SRP	RN7SL718P	ortholog_many2many
Metazoa_SRP	RN7SL602P	ortholog_many2many
COQ3	COQ3	ortholog_one2one
SERF1B	SERF1B	ortholog_one2one
ART1	ART1	ortholog_one2one
AUH	AUH	ortholog_one2one
SLC17A8	SLC17A8	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
PLG	PLG	ortholog_one2one
	ELK1	ortholog_one2many
NEFL	NEFL	ortholog_one2one
STK33	STK33	ortholog_one2one
KRT26	KRT26	ortholog_one2one
mml-mir-455	MIR455	ortholog_one2one
Y_RNA	RNY3P14	ortholog_one2one
POLR2D	POLR2D	ortholog_one2one
	IGLL5	ortholog_many2many
	IGLC1	ortholog_many2many
	IGLC3	ortholog_many2many
	IGLC2	ortholog_many2many
Y_RNA	RNY1	ortholog_one2many
KMT5B	KMT5B	ortholog_one2one
IKZF2	IKZF2	ortholog_one2one
CST3	CST3	ortholog_one2one
SIDT2	SIDT2	ortholog_one2one
U6	RNU6-885P	ortholog_one2many
PACSIN3	PACSIN3	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
WDR17	WDR17	ortholog_one2one
FBXL7	FBXL7	ortholog_one2one
	SLC35G3	ortholog_one2many
	SLC35G5	ortholog_one2many
	SLC35G4	ortholog_one2many
	SLC35G6	ortholog_one2many
FIBIN	FIBIN	ortholog_one2one
UBQLN2	UBQLN2	ortholog_one2one
FSHR	FSHR	ortholog_one2one
NAPRT	NAPRT	ortholog_one2one
TXNRD3	TXNRD3	ortholog_one2one
GOLGA1	GOLGA1	ortholog_one2one
Y_RNA	RNY3	ortholog_one2many
POLG	POLG	ortholog_one2one
POLR3G	POLR3G	ortholog_one2one
XPO1	XPO1	ortholog_one2one
VCP	VCP	ortholog_one2one
ADGRD1	ADGRD1	ortholog_one2one
Y_RNA	RNY4	ortholog_one2many
IQGAP2	IQGAP2	ortholog_one2one
Metazoa_SRP	RN7SL203P	ortholog_one2one
ASMT	ASMT	ortholog_one2one
APLP2	APLP2	ortholog_one2one
